Forecasted Project Utilization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actual Project Utilization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cummulative Forecasted Project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cummulative Actual Project Utilization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Calendar Year,2022,,,,,,,,,,,,2023,,,,,,,,,,,,2024,,,,,,,,,,,,2025,,,,,,
,,,Calendar Month,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul
,,,Project Month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
,,,Plan-Monthly,2,2.28,2.34,2.46,1.43,0.7,1.41,1.54,1.1,1.4,1.23,1.58,1.41,1.44,1.86,0.91,1.06,1.57,1.06,1.49,1.25,2.25,4.95,2.04,2.57,1.9,1.78,1.47,2.01,1.44,1.16,1.06,0.69,0.8,0.6,0.37,0.13,0.1,1.71,0.02,0.01,0.01,0.02
,,,Plan-Cumulative (A),41.85,44.13,46.47,48.93,50.36,51.06,52.47,54.01,55.11,56.51,57.74,59.32,60.73,62.17,64.03,64.94,66,67.56,68.62,70.11,71.36,73.62,78.56,80.6,83.17,85.08,86.85,88.32,90.33,91.77,92.93,93.99,94.68,95.49,96.08,96.45,98.09,98.19,99.9,99.92,99.93,99.94,99.97
,,,Actual-Monthly,2,2.28,2.34,2.46,1.43,0.7,1.41,1.54,1.1,1.4,1.23,1.58,1.41,1.44,1.86,1.44,1.58,1.89,1.77,1.48,1.19,1.71,4.45,1.51,1.65,1.59,1.35,1.02,0.98,0.95,1,0.72,0.39,0.48,0.41,-0.5,0.26,0.31,0.34,0.68,0.42,1.06,0.9
,,,Actual-Cumulative (B),41.85,44.13,46.47,48.93,50.36,51.06,52.47,54.01,55.11,56.51,57.74,59.32,60.73,62.17,64.03,65.47,67.05,68.94,70.71,72.19,73.38,75.09,79.54,81.05,82.7,84.29,85.64,86.66,87.64,88.59,89.59,90.31,90.7,91.18,91.59,91.09,92.31,92.62,92.96,93.64,94.06,95.12,96.02
,,,Dev. +/- (B)-(A) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53,1.05,1.38,2.09,2.08,2.02,1.47,0.98,0.45,-0.47,-0.79,-1.21,-1.66,-2.69,-3.18,-3.34,-3.68,-3.98,-4.31,-4.49,-5.36,-5.8,-5.6,-6.9,-6.3,-5.9,-4.8,-3.9
